x,city,y
2016,Vilnius,4.93
2017,Vilnius,5.57
2018,Vilnius,3.8
2019,Vilnius,4.47
2020,Vilnius,3.94
2016,Alytus,100.0
2017,Alytus,100.0
2018,Alytus,100.0
2019,Alytus,91.12
2020,Alytus,100.0
2016,Kaunas,99.28
2017,Kaunas,99.34
2018,Kaunas,99.28
2019,Kaunas,99.13
2020,Kaunas,99.2
2016,Klaipėda,25.77
2017,Klaipėda,24.3
2018,Klaipėda,20.97
2019,Klaipėda,18.98
2020,Klaipėda,18.18
2016,Panevėžys,100.0
2017,Panevėžys,100.0
2018,Panevėžys,100.0
2019,Panevėžys,100.0
2020,Panevėžys,100.0
2016,Šiauliai,100.0
2017,Šiauliai,100.0
2018,Šiauliai,100.0
2019,Šiauliai,100.0
2020,Šiauliai,100.0
